Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
35084,"Peterborough--Kawartha","Peterborough--Kawartha"," 1","Glen Alda",N,N,"",0,332,"Bowers","","Robert M.","Independent","Indépendant(e)",N,N,0
35084,"Peterborough--Kawartha","Peterborough--Kawartha"," 1","Glen Alda",N,N,"",0,332,"Ferreri","","Michelle","Conservative","Conservateur",N,Y,69
35084,"Peterborough--Kawartha","Peterborough--Kawartha"," 1","Glen Alda",N,N,"",0,332,"Lachica","","Joy","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,17
35084,"Peterborough--Kawartha","Peterborough--Kawartha"," 1","Glen Alda",N,N,"",0,332,"Lawton","","Paul","People's Party - PPC","Parti populaire - PPC",N,N,33
35084,"Peterborough--Kawartha","Peterborough--Kawartha"," 1","Glen Alda",N,N,"",0,332,"Monsef","","Maryam","Liberal","Libéral",Y,N,35
35084,"Peterborough--Kawartha","Peterborough--Kawartha"," 1","Glen Alda",N,N,"",0,332,"White","","Chanté","Green Party","Parti Vert",N,N,0
35084,"Peterborough--Kawartha","Peterborough--Kawartha"," 2","North Kawartha",N,N,"",2,353,"Bowers","","Robert M.","Independent","Indépendant(e)",N,N,0
35084,"Peterborough--Kawartha","Peterborough--Kawartha"," 2","North Kawartha",N,N,"",2,353,"Ferreri","","Michelle","Conservative","Conservateur",N,Y,52
35084,"Peterborough--Kawartha","Peterborough--Kawartha"," 2","North Kawartha",N,N,"",2,353,"Lachica","","Joy","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,18
35084,"Peterborough--Kawartha","Peterborough--Kawartha"," 2","North Kawartha",N,N,"",2,353,"Lawton","","Paul","People's Party - PPC","Parti populaire - PPC",N,N,18
35084,"Peterborough--Kawartha","Peterborough--Kawartha"," 2","North Kawartha",N,N,"",2,353,"Monsef","","Maryam","Liberal","Libéral",Y,N,29
35084,"Peterborough--Kawartha","Peterborough--Kawartha"," 2","North Kawartha",N,N,"",2,353,"White","","Chanté","Green Party","Parti Vert",N,N,7
35084,"Peterborough--Kawartha","Peterborough--Kawartha"," 3","Chandos",N,N,"",0,392,"Bowers","","Robert M.","Independent","Indépendant(e)",N,N,1
35084,"Peterborough--Kawartha","Peterborough--Kawartha"," 3","Chandos",N,N,"",0,392,"Ferreri","","Michelle","Conservative","Conservateur",N,Y,53
35084,"Peterborough--Kawartha","Peterborough--Kawartha"," 3","Chandos",N,N,"",0,392,"Lachica","","Joy","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,21
35084,"Peterborough--Kawartha","Peterborough--Kawartha"," 3","Chandos",N,N,"",0,392,"Lawton","","Paul","People's Party - PPC","Parti populaire - PPC",N,N,32
35084,"Peterborough--Kawartha","Peterborough--Kawartha"," 3","Chandos",N,N,"",0,392,"Monsef","","Maryam","Liberal","Libéral",Y,N,30
35084,"Peterborough--Kawartha","Peterborough--Kawartha"," 3","Chandos",N,N,"",0,392,"White","","Chanté","Green Party","Parti Vert",N,N,6
35084,"Peterborough--Kawartha","Peterborough--Kawartha"," 4","Jack Lake",N,N,"",0,401,"Bowers","","Robert M.","Independent","Indépendant(e)",N,N,0
35084,"Peterborough--Kawartha","Peterborough--Kawartha"," 4","Jack Lake",N,N,"",0,401,"Ferreri","","Michelle","Conservative","Conservateur",N,Y,55
35084,"Peterborough--Kawartha","Peterborough--Kawartha"," 4","Jack Lake",N,N,"",0,401,"Lachica","","Joy","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,19
35084,"Peterborough--Kawartha","Peterborough--Kawartha"," 4","Jack Lake",N,N,"",0,401,"Lawton","","Paul","People's Party - PPC","Parti populaire - PPC",N,N,4
35084,"Peterborough--Kawartha","Peterborough--Kawartha"," 4","Jack Lake",N,N,"",0,401,"Monsef","","Maryam","Liberal","Libéral",Y,N,43
35084,"Peterborough--Kawartha","Peterborough--Kawartha"," 4","Jack Lake",N,N,"",0,401,"White","","Chanté","Green Party","Parti Vert",N,N,2
35084,"Peterborough--Kawartha","Peterborough--Kawartha"," 5","North Kawartha",N,N,"",1,357,"Bowers","","Robert M.","Independent","Indépendant(e)",N,N,0
35084,"Peterborough--Kawartha","Peterborough--Kawartha"," 5","North Kawartha",N,N,"",1,357,"Ferreri","","Michelle","Conservative","Conservateur",N,Y,77
35084,"Peterborough--Kawartha","Peterborough--Kawartha"," 5","North Kawartha",N,N,"",1,357,"Lachica","","Joy","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,17
35084,"Peterborough--Kawartha","Peterborough--Kawartha"," 5","North Kawartha",N,N,"",1,357,"Lawton","","Paul","People's Party - PPC","Parti populaire - PPC",N,N,16
35084,"Peterborough--Kawartha","Peterborough--Kawartha"," 5","North Kawartha",N,N,"",1,357,"Monsef","","Maryam","Liberal","Libéral",Y,N,35
35084,"Peterborough--Kawartha","Peterborough--Kawartha"," 5","North Kawartha",N,N,"",1,357,"White","","Chanté","Green Party","Parti Vert",N,N,7
35084,"Peterborough--Kawartha","Peterborough--Kawartha"," 6","Cavendish",N,N,"",2,413,"Bowers","","Robert M.","Independent","Indépendant(e)",N,N,1
35084,"Peterborough--Kawartha","Peterborough--Kawartha"," 6","Cavendish",N,N,"",2,413,"Ferreri","","Michelle","Conservative","Conservateur",N,Y,88
35084,"Peterborough--Kawartha","Peterborough--Kawartha"," 6","Cavendish",N,N,"",2,413,"Lachica","","Joy","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,34
35084,"Peterborough--Kawartha","Peterborough--Kawartha"," 6","Cavendish",N,N,"",2,413,"Lawton","","Paul","People's Party - PPC","Parti populaire - PPC",N,N,11
35084,"Peterborough--Kawartha","Peterborough--Kawartha"," 6","Cavendish",N,N,"",2,413,"Monsef","","Maryam","Liberal","Libéral",Y,N,73
35084,"Peterborough--Kawartha","Peterborough--Kawartha"," 6","Cavendish",N,N,"",2,413,"White","","Chanté","Green Party","Parti Vert",N,N,2
35084,"Peterborough--Kawartha","Peterborough--Kawartha"," 7","Galway",N,N,"",0,543,"Bowers","","Robert M.","Independent","Indépendant(e)",N,N,3
