Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
46005,"Elmwood--Transcona","Elmwood--Transcona"," 1A","Winnipeg",N,N,"",4,253,"Blaikie","","Daniel","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",Y,Y,57
46005,"Elmwood--Transcona","Elmwood--Transcona"," 1A","Winnipeg",N,N,"",4,253,"Caron","","Rejeanne","Conservative","Conservateur",N,N,41
46005,"Elmwood--Transcona","Elmwood--Transcona"," 1A","Winnipeg",N,N,"",4,253,"Cumming","","Jamie","People's Party - PPC","Parti populaire - PPC",N,N,3
46005,"Elmwood--Transcona","Elmwood--Transcona"," 1A","Winnipeg",N,N,"",4,253,"Hinchey","","Devlin","Green Party","Parti Vert",N,N,7
46005,"Elmwood--Transcona","Elmwood--Transcona"," 1A","Winnipeg",N,N,"",4,253,"Mirwaldt","","Sara","Liberal","Libéral",N,N,28
46005,"Elmwood--Transcona","Elmwood--Transcona"," 1B","Winnipeg",N,N,"",3,376,"Blaikie","","Daniel","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",Y,Y,56
46005,"Elmwood--Transcona","Elmwood--Transcona"," 1B","Winnipeg",N,N,"",3,376,"Caron","","Rejeanne","Conservative","Conservateur",N,N,69
46005,"Elmwood--Transcona","Elmwood--Transcona"," 1B","Winnipeg",N,N,"",3,376,"Cumming","","Jamie","People's Party - PPC","Parti populaire - PPC",N,N,8
46005,"Elmwood--Transcona","Elmwood--Transcona"," 1B","Winnipeg",N,N,"",3,376,"Hinchey","","Devlin","Green Party","Parti Vert",N,N,1
46005,"Elmwood--Transcona","Elmwood--Transcona"," 1B","Winnipeg",N,N,"",3,376,"Mirwaldt","","Sara","Liberal","Libéral",N,N,51
46005,"Elmwood--Transcona","Elmwood--Transcona"," 2","Winnipeg",N,N,"",1,429,"Blaikie","","Daniel","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",Y,Y,101
46005,"Elmwood--Transcona","Elmwood--Transcona"," 2","Winnipeg",N,N,"",1,429,"Caron","","Rejeanne","Conservative","Conservateur",N,N,51
46005,"Elmwood--Transcona","Elmwood--Transcona"," 2","Winnipeg",N,N,"",1,429,"Cumming","","Jamie","People's Party - PPC","Parti populaire - PPC",N,N,7
46005,"Elmwood--Transcona","Elmwood--Transcona"," 2","Winnipeg",N,N,"",1,429,"Hinchey","","Devlin","Green Party","Parti Vert",N,N,9
46005,"Elmwood--Transcona","Elmwood--Transcona"," 2","Winnipeg",N,N,"",1,429,"Mirwaldt","","Sara","Liberal","Libéral",N,N,34
46005,"Elmwood--Transcona","Elmwood--Transcona"," 3","Winnipeg",N,N,"",1,394,"Blaikie","","Daniel","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",Y,Y,99
46005,"Elmwood--Transcona","Elmwood--Transcona"," 3","Winnipeg",N,N,"",1,394,"Caron","","Rejeanne","Conservative","Conservateur",N,N,54
46005,"Elmwood--Transcona","Elmwood--Transcona"," 3","Winnipeg",N,N,"",1,394,"Cumming","","Jamie","People's Party - PPC","Parti populaire - PPC",N,N,2
46005,"Elmwood--Transcona","Elmwood--Transcona"," 3","Winnipeg",N,N,"",1,394,"Hinchey","","Devlin","Green Party","Parti Vert",N,N,9
46005,"Elmwood--Transcona","Elmwood--Transcona"," 3","Winnipeg",N,N,"",1,394,"Mirwaldt","","Sara","Liberal","Libéral",N,N,29
46005,"Elmwood--Transcona","Elmwood--Transcona"," 4","Winnipeg",N,N,"",4,448,"Blaikie","","Daniel","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",Y,Y,126
46005,"Elmwood--Transcona","Elmwood--Transcona"," 4","Winnipeg",N,N,"",4,448,"Caron","","Rejeanne","Conservative","Conservateur",N,N,69
46005,"Elmwood--Transcona","Elmwood--Transcona"," 4","Winnipeg",N,N,"",4,448,"Cumming","","Jamie","People's Party - PPC","Parti populaire - PPC",N,N,6
46005,"Elmwood--Transcona","Elmwood--Transcona"," 4","Winnipeg",N,N,"",4,448,"Hinchey","","Devlin","Green Party","Parti Vert",N,N,7
46005,"Elmwood--Transcona","Elmwood--Transcona"," 4","Winnipeg",N,N,"",4,448,"Mirwaldt","","Sara","Liberal","Libéral",N,N,35
46005,"Elmwood--Transcona","Elmwood--Transcona"," 5","Winnipeg",N,N,"",0,415,"Blaikie","","Daniel","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",Y,Y,78
46005,"Elmwood--Transcona","Elmwood--Transcona"," 5","Winnipeg",N,N,"",0,415,"Caron","","Rejeanne","Conservative","Conservateur",N,N,34
46005,"Elmwood--Transcona","Elmwood--Transcona"," 5","Winnipeg",N,N,"",0,415,"Cumming","","Jamie","People's Party - PPC","Parti populaire - PPC",N,N,9
46005,"Elmwood--Transcona","Elmwood--Transcona"," 5","Winnipeg",N,N,"",0,415,"Hinchey","","Devlin","Green Party","Parti Vert",N,N,5
46005,"Elmwood--Transcona","Elmwood--Transcona"," 5","Winnipeg",N,N,"",0,415,"Mirwaldt","","Sara","Liberal","Libéral",N,N,28
46005,"Elmwood--Transcona","Elmwood--Transcona"," 6","Winnipeg",N,N,"",1,465,"Blaikie","","Daniel","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",Y,Y,84
46005,"Elmwood--Transcona","Elmwood--Transcona"," 6","Winnipeg",N,N,"",1,465,"Caron","","Rejeanne","Conservative","Conservateur",N,N,42
46005,"Elmwood--Transcona","Elmwood--Transcona"," 6","Winnipeg",N,N,"",1,465,"Cumming","","Jamie","People's Party - PPC","Parti populaire - PPC",N,N,5
46005,"Elmwood--Transcona","Elmwood--Transcona"," 6","Winnipeg",N,N,"",1,465,"Hinchey","","Devlin","Green Party","Parti Vert",N,N,7
46005,"Elmwood--Transcona","Elmwood--Transcona"," 6","Winnipeg",N,N,"",1,465,"Mirwaldt","","Sara","Liberal","Libéral",N,N,10
46005,"Elmwood--Transcona","Elmwood--Transcona"," 7","Winnipeg",N,N,"",0,472,"Blaikie","","Daniel","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",Y,Y,72
46005,"Elmwood--Transcona","Elmwood--Transcona"," 7","Winnipeg",N,N,"",0,472,"Caron","","Rejeanne","Conservative","Conservateur",N,N,36
46005,"Elmwood--Transcona","Elmwood--Transcona"," 7","Winnipeg",N,N,"",0,472,"Cumming","","Jamie","People's Party - PPC","Parti populaire - PPC",N,N,5
46005,"Elmwood--Transcona","Elmwood--Transcona"," 7","Winnipeg",N,N,"",0,472,"Hinchey","","Devlin","Green Party","Parti Vert",N,N,5
46005,"Elmwood--Transcona","Elmwood--Transcona"," 7","Winnipeg",N,N,"",0,472,"Mirwaldt","","Sara","Liberal","Libéral",N,N,11
46005,"Elmwood--Transcona","Elmwood--Transcona"," 8","Winnipeg",N,N,"",1,370,"Blaikie","","Daniel","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",Y,Y,80
46005,"Elmwood--Transcona","Elmwood--Transcona"," 8","Winnipeg",N,N,"",1,370,"Caron","","Rejeanne","Conservative","Conservateur",N,N,33
46005,"Elmwood--Transcona","Elmwood--Transcona"," 8","Winnipeg",N,N,"",1,370,"Cumming","","Jamie","People's Party - PPC","Parti populaire - PPC",N,N,8
46005,"Elmwood--Transcona","Elmwood--Transcona"," 8","Winnipeg",N,N,"",1,370,"Hinchey","","Devlin","Green Party","Parti Vert",N,N,2
46005,"Elmwood--Transcona","Elmwood--Transcona"," 8","Winnipeg",N,N,"",1,370,"Mirwaldt","","Sara","Liberal","Libéral",N,N,19
46005,"Elmwood--Transcona","Elmwood--Transcona"," 9","Winnipeg",N,N,"",0,417,"Blaikie","","Daniel","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",Y,Y,70
46005,"Elmwood--Transcona","Elmwood--Transcona"," 9","Winnipeg",N,N,"",0,417,"Caron","","Rejeanne","Conservative","Conservateur",N,N,35
46005,"Elmwood--Transcona","Elmwood--Transcona"," 9","Winnipeg",N,N,"",0,417,"Cumming","","Jamie","People's Party - PPC","Parti populaire - PPC",N,N,7
46005,"Elmwood--Transcona","Elmwood--Transcona"," 9","Winnipeg",N,N,"",0,417,"Hinchey","","Devlin","Green Party","Parti Vert",N,N,5
46005,"Elmwood--Transcona","Elmwood--Transcona"," 9","Winnipeg",N,N,"",0,417,"Mirwaldt","","Sara","Liberal","Libéral",N,N,8
46005,"Elmwood--Transcona","Elmwood--Transcona"," 10","Winnipeg",N,N,"",0,376,"Blaikie","","Daniel","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",Y,Y,72
46005,"Elmwood--Transcona","Elmwood--Transcona"," 10","Winnipeg",N,N,"",0,376,"Caron","","Rejeanne","Conservative","Conservateur",N,N,33
46005,"Elmwood--Transcona","Elmwood--Transcona"," 10","Winnipeg",N,N,"",0,376,"Cumming","","Jamie","People's Party - PPC","Parti populaire - PPC",N,N,9
46005,"Elmwood--Transcona","Elmwood--Transcona"," 10","Winnipeg",N,N,"",0,376,"Hinchey","","Devlin","Green Party","Parti Vert",N,N,3
46005,"Elmwood--Transcona","Elmwood--Transcona"," 10","Winnipeg",N,N,"",0,376,"Mirwaldt","","Sara","Liberal","Libéral",N,N,17
46005,"Elmwood--Transcona","Elmwood--Transcona"," 11","Winnipeg",N,N,"",1,387,"Blaikie","","Daniel","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",Y,Y,66
46005,"Elmwood--Transcona","Elmwood--Transcona"," 11","Winnipeg",N,N,"",1,387,"Caron","","Rejeanne","Conservative","Conservateur",N,N,40
46005,"Elmwood--Transcona","Elmwood--Transcona"," 11","Winnipeg",N,N,"",1,387,"Cumming","","Jamie","People's Party - PPC","Parti populaire - PPC",N,N,4
46005,"Elmwood--Transcona","Elmwood--Transcona"," 11","Winnipeg",N,N,"",1,387,"Hinchey","","Devlin","Green Party","Parti Vert",N,N,3
46005,"Elmwood--Transcona","Elmwood--Transcona"," 11","Winnipeg",N,N,"",1,387,"Mirwaldt","","Sara","Liberal","Libéral",N,N,24
