Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
24004,"Alfred-Pellan","Alfred-Pellan"," 1","Laval",N,N,"",8,412,"Cappelletti","","Dwayne","Free Party Canada","Parti Libre Canada",N,N,6
24004,"Alfred-Pellan","Alfred-Pellan"," 1","Laval",N,N,"",8,412,"Corneillet","","Pierre-Alexandre","Green Party","Parti Vert",N,N,3
24004,"Alfred-Pellan","Alfred-Pellan"," 1","Laval",N,N,"",8,412,"d'Anello","","Angiolino","Conservative","Conservateur",N,N,31
24004,"Alfred-Pellan","Alfred-Pellan"," 1","Laval",N,N,"",8,412,"Dion","","Isabel","Bloc Québécois","Bloc Québécois",N,N,60
24004,"Alfred-Pellan","Alfred-Pellan"," 1","Laval",N,N,"",8,412,"Iacono","","Angelo","Liberal","Libéral",Y,Y,38
24004,"Alfred-Pellan","Alfred-Pellan"," 1","Laval",N,N,"",8,412,"Mercer","","Cindy","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,8
24004,"Alfred-Pellan","Alfred-Pellan"," 2","Laval",N,N,"",6,507,"Cappelletti","","Dwayne","Free Party Canada","Parti Libre Canada",N,N,6
24004,"Alfred-Pellan","Alfred-Pellan"," 2","Laval",N,N,"",6,507,"Corneillet","","Pierre-Alexandre","Green Party","Parti Vert",N,N,5
24004,"Alfred-Pellan","Alfred-Pellan"," 2","Laval",N,N,"",6,507,"d'Anello","","Angiolino","Conservative","Conservateur",N,N,29
24004,"Alfred-Pellan","Alfred-Pellan"," 2","Laval",N,N,"",6,507,"Dion","","Isabel","Bloc Québécois","Bloc Québécois",N,N,65
24004,"Alfred-Pellan","Alfred-Pellan"," 2","Laval",N,N,"",6,507,"Iacono","","Angelo","Liberal","Libéral",Y,Y,81
24004,"Alfred-Pellan","Alfred-Pellan"," 2","Laval",N,N,"",6,507,"Mercer","","Cindy","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,12
24004,"Alfred-Pellan","Alfred-Pellan"," 3","Laval",N,N,"",6,478,"Cappelletti","","Dwayne","Free Party Canada","Parti Libre Canada",N,N,7
24004,"Alfred-Pellan","Alfred-Pellan"," 3","Laval",N,N,"",6,478,"Corneillet","","Pierre-Alexandre","Green Party","Parti Vert",N,N,12
24004,"Alfred-Pellan","Alfred-Pellan"," 3","Laval",N,N,"",6,478,"d'Anello","","Angiolino","Conservative","Conservateur",N,N,17
24004,"Alfred-Pellan","Alfred-Pellan"," 3","Laval",N,N,"",6,478,"Dion","","Isabel","Bloc Québécois","Bloc Québécois",N,N,58
24004,"Alfred-Pellan","Alfred-Pellan"," 3","Laval",N,N,"",6,478,"Iacono","","Angelo","Liberal","Libéral",Y,Y,81
24004,"Alfred-Pellan","Alfred-Pellan"," 3","Laval",N,N,"",6,478,"Mercer","","Cindy","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,9
24004,"Alfred-Pellan","Alfred-Pellan"," 4","Laval",N,N,"",1,417,"Cappelletti","","Dwayne","Free Party Canada","Parti Libre Canada",N,N,1
24004,"Alfred-Pellan","Alfred-Pellan"," 4","Laval",N,N,"",1,417,"Corneillet","","Pierre-Alexandre","Green Party","Parti Vert",N,N,3
24004,"Alfred-Pellan","Alfred-Pellan"," 4","Laval",N,N,"",1,417,"d'Anello","","Angiolino","Conservative","Conservateur",N,N,19
24004,"Alfred-Pellan","Alfred-Pellan"," 4","Laval",N,N,"",1,417,"Dion","","Isabel","Bloc Québécois","Bloc Québécois",N,N,64
24004,"Alfred-Pellan","Alfred-Pellan"," 4","Laval",N,N,"",1,417,"Iacono","","Angelo","Liberal","Libéral",Y,Y,77
24004,"Alfred-Pellan","Alfred-Pellan"," 4","Laval",N,N,"",1,417,"Mercer","","Cindy","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,9
24004,"Alfred-Pellan","Alfred-Pellan"," 5","Laval",N,N,"",2,470,"Cappelletti","","Dwayne","Free Party Canada","Parti Libre Canada",N,N,11
24004,"Alfred-Pellan","Alfred-Pellan"," 5","Laval",N,N,"",2,470,"Corneillet","","Pierre-Alexandre","Green Party","Parti Vert",N,N,5
24004,"Alfred-Pellan","Alfred-Pellan"," 5","Laval",N,N,"",2,470,"d'Anello","","Angiolino","Conservative","Conservateur",N,N,34
24004,"Alfred-Pellan","Alfred-Pellan"," 5","Laval",N,N,"",2,470,"Dion","","Isabel","Bloc Québécois","Bloc Québécois",N,N,63
24004,"Alfred-Pellan","Alfred-Pellan"," 5","Laval",N,N,"",2,470,"Iacono","","Angelo","Liberal","Libéral",Y,Y,65
24004,"Alfred-Pellan","Alfred-Pellan"," 5","Laval",N,N,"",2,470,"Mercer","","Cindy","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,20
24004,"Alfred-Pellan","Alfred-Pellan"," 6","Laval",N,N,"",3,427,"Cappelletti","","Dwayne","Free Party Canada","Parti Libre Canada",N,N,5
24004,"Alfred-Pellan","Alfred-Pellan"," 6","Laval",N,N,"",3,427,"Corneillet","","Pierre-Alexandre","Green Party","Parti Vert",N,N,3
24004,"Alfred-Pellan","Alfred-Pellan"," 6","Laval",N,N,"",3,427,"d'Anello","","Angiolino","Conservative","Conservateur",N,N,9
24004,"Alfred-Pellan","Alfred-Pellan"," 6","Laval",N,N,"",3,427,"Dion","","Isabel","Bloc Québécois","Bloc Québécois",N,N,41
24004,"Alfred-Pellan","Alfred-Pellan"," 6","Laval",N,N,"",3,427,"Iacono","","Angelo","Liberal","Libéral",Y,Y,58
24004,"Alfred-Pellan","Alfred-Pellan"," 6","Laval",N,N,"",3,427,"Mercer","","Cindy","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,18
24004,"Alfred-Pellan","Alfred-Pellan"," 7","Laval",N,N,"",4,380,"Cappelletti","","Dwayne","Free Party Canada","Parti Libre Canada",N,N,5
24004,"Alfred-Pellan","Alfred-Pellan"," 7","Laval",N,N,"",4,380,"Corneillet","","Pierre-Alexandre","Green Party","Parti Vert",N,N,5
24004,"Alfred-Pellan","Alfred-Pellan"," 7","Laval",N,N,"",4,380,"d'Anello","","Angiolino","Conservative","Conservateur",N,N,12
24004,"Alfred-Pellan","Alfred-Pellan"," 7","Laval",N,N,"",4,380,"Dion","","Isabel","Bloc Québécois","Bloc Québécois",N,N,36
24004,"Alfred-Pellan","Alfred-Pellan"," 7","Laval",N,N,"",4,380,"Iacono","","Angelo","Liberal","Libéral",Y,Y,68
24004,"Alfred-Pellan","Alfred-Pellan"," 7","Laval",N,N,"",4,380,"Mercer","","Cindy","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,6
24004,"Alfred-Pellan","Alfred-Pellan"," 8","Laval",N,N,"",3,408,"Cappelletti","","Dwayne","Free Party Canada","Parti Libre Canada",N,N,6
24004,"Alfred-Pellan","Alfred-Pellan"," 8","Laval",N,N,"",3,408,"Corneillet","","Pierre-Alexandre","Green Party","Parti Vert",N,N,8
24004,"Alfred-Pellan","Alfred-Pellan"," 8","Laval",N,N,"",3,408,"d'Anello","","Angiolino","Conservative","Conservateur",N,N,13
24004,"Alfred-Pellan","Alfred-Pellan"," 8","Laval",N,N,"",3,408,"Dion","","Isabel","Bloc Québécois","Bloc Québécois",N,N,36
24004,"Alfred-Pellan","Alfred-Pellan"," 8","Laval",N,N,"",3,408,"Iacono","","Angelo","Liberal","Libéral",Y,Y,84
24004,"Alfred-Pellan","Alfred-Pellan"," 8","Laval",N,N,"",3,408,"Mercer","","Cindy","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,11
24004,"Alfred-Pellan","Alfred-Pellan"," 9","Laval",N,N,"",5,486,"Cappelletti","","Dwayne","Free Party Canada","Parti Libre Canada",N,N,11
24004,"Alfred-Pellan","Alfred-Pellan"," 9","Laval",N,N,"",5,486,"Corneillet","","Pierre-Alexandre","Green Party","Parti Vert",N,N,8
24004,"Alfred-Pellan","Alfred-Pellan"," 9","Laval",N,N,"",5,486,"d'Anello","","Angiolino","Conservative","Conservateur",N,N,21
24004,"Alfred-Pellan","Alfred-Pellan"," 9","Laval",N,N,"",5,486,"Dion","","Isabel","Bloc Québécois","Bloc Québécois",N,N,44
24004,"Alfred-Pellan","Alfred-Pellan"," 9","Laval",N,N,"",5,486,"Iacono","","Angelo","Liberal","Libéral",Y,Y,82
24004,"Alfred-Pellan","Alfred-Pellan"," 9","Laval",N,N,"",5,486,"Mercer","","Cindy","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,21
24004,"Alfred-Pellan","Alfred-Pellan"," 10","Laval",N,N,"",2,397,"Cappelletti","","Dwayne","Free Party Canada","Parti Libre Canada",N,N,6
24004,"Alfred-Pellan","Alfred-Pellan"," 10","Laval",N,N,"",2,397,"Corneillet","","Pierre-Alexandre","Green Party","Parti Vert",N,N,4
24004,"Alfred-Pellan","Alfred-Pellan"," 10","Laval",N,N,"",2,397,"d'Anello","","Angiolino","Conservative","Conservateur",N,N,15
24004,"Alfred-Pellan","Alfred-Pellan"," 10","Laval",N,N,"",2,397,"Dion","","Isabel","Bloc Québécois","Bloc Québécois",N,N,58
24004,"Alfred-Pellan","Alfred-Pellan"," 10","Laval",N,N,"",2,397,"Iacono","","Angelo","Liberal","Libéral",Y,Y,39
24004,"Alfred-Pellan","Alfred-Pellan"," 10","Laval",N,N,"",2,397,"Mercer","","Cindy","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,11
24004,"Alfred-Pellan","Alfred-Pellan"," 11","Laval",N,N,"",6,462,"Cappelletti","","Dwayne","Free Party Canada","Parti Libre Canada",N,N,5
24004,"Alfred-Pellan","Alfred-Pellan"," 11","Laval",N,N,"",6,462,"Corneillet","","Pierre-Alexandre","Green Party","Parti Vert",N,N,8
24004,"Alfred-Pellan","Alfred-Pellan"," 11","Laval",N,N,"",6,462,"d'Anello","","Angiolino","Conservative","Conservateur",N,N,10
24004,"Alfred-Pellan","Alfred-Pellan"," 11","Laval",N,N,"",6,462,"Dion","","Isabel","Bloc Québécois","Bloc Québécois",N,N,60
24004,"Alfred-Pellan","Alfred-Pellan"," 11","Laval",N,N,"",6,462,"Iacono","","Angelo","Liberal","Libéral",Y,Y,80
24004,"Alfred-Pellan","Alfred-Pellan"," 11","Laval",N,N,"",6,462,"Mercer","","Cindy","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,14
24004,"Alfred-Pellan","Alfred-Pellan"," 12","Laval",N,N,"",9,491,"Cappelletti","","Dwayne","Free Party Canada","Parti Libre Canada",N,N,11
24004,"Alfred-Pellan","Alfred-Pellan"," 12","Laval",N,N,"",9,491,"Corneillet","","Pierre-Alexandre","Green Party","Parti Vert",N,N,5
24004,"Alfred-Pellan","Alfred-Pellan"," 12","Laval",N,N,"",9,491,"d'Anello","","Angiolino","Conservative","Conservateur",N,N,18
24004,"Alfred-Pellan","Alfred-Pellan"," 12","Laval",N,N,"",9,491,"Dion","","Isabel","Bloc Québécois","Bloc Québécois",N,N,47
24004,"Alfred-Pellan","Alfred-Pellan"," 12","Laval",N,N,"",9,491,"Iacono","","Angelo","Liberal","Libéral",Y,Y,104
24004,"Alfred-Pellan","Alfred-Pellan"," 12","Laval",N,N,"",9,491,"Mercer","","Cindy","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,25
