Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
35108,"Toronto Centre","Toronto-Centre"," 1","Toronto",N,N,"",0,569,"Byard","","Ivan","Communist","Communiste",N,N,1
35108,"Toronto Centre","Toronto-Centre"," 1","Toronto",N,N,"",0,569,"Chang","","Brian","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,72
35108,"Toronto Centre","Toronto-Centre"," 1","Toronto",N,N,"",0,569,"Ien","","Marci","Liberal","Libéral",Y,Y,80
35108,"Toronto Centre","Toronto-Centre"," 1","Toronto",N,N,"",0,569,"Jaffery","","Syed","People's Party - PPC","Parti populaire - PPC",N,N,2
35108,"Toronto Centre","Toronto-Centre"," 1","Toronto",N,N,"",0,569,"Lester","","Ryan","Conservative","Conservateur",N,N,28
35108,"Toronto Centre","Toronto-Centre"," 1","Toronto",N,N,"",0,569,"Paul","","Annamie","Green Party","Parti Vert",N,N,7
35108,"Toronto Centre","Toronto-Centre"," 1","Toronto",N,N,"",0,569,"Stubbins","","Peter","Animal Protection Party","Parti Protection Animaux",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 2","Toronto",N,N,"",2,434,"Byard","","Ivan","Communist","Communiste",N,N,2
35108,"Toronto Centre","Toronto-Centre"," 2","Toronto",N,N,"",2,434,"Chang","","Brian","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,90
35108,"Toronto Centre","Toronto-Centre"," 2","Toronto",N,N,"",2,434,"Ien","","Marci","Liberal","Libéral",Y,Y,89
35108,"Toronto Centre","Toronto-Centre"," 2","Toronto",N,N,"",2,434,"Jaffery","","Syed","People's Party - PPC","Parti populaire - PPC",N,N,11
35108,"Toronto Centre","Toronto-Centre"," 2","Toronto",N,N,"",2,434,"Lester","","Ryan","Conservative","Conservateur",N,N,19
35108,"Toronto Centre","Toronto-Centre"," 2","Toronto",N,N,"",2,434,"Paul","","Annamie","Green Party","Parti Vert",N,N,21
35108,"Toronto Centre","Toronto-Centre"," 2","Toronto",N,N,"",2,434,"Stubbins","","Peter","Animal Protection Party","Parti Protection Animaux",N,N,2
35108,"Toronto Centre","Toronto-Centre"," 3","Toronto",N,N,"2",0,290,"Byard","","Ivan","Communist","Communiste",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 3","Toronto",N,N,"2",0,290,"Chang","","Brian","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 3","Toronto",N,N,"2",0,290,"Ien","","Marci","Liberal","Libéral",Y,Y,0
35108,"Toronto Centre","Toronto-Centre"," 3","Toronto",N,N,"2",0,290,"Jaffery","","Syed","People's Party - PPC","Parti populaire - PPC",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 3","Toronto",N,N,"2",0,290,"Lester","","Ryan","Conservative","Conservateur",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 3","Toronto",N,N,"2",0,290,"Paul","","Annamie","Green Party","Parti Vert",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 3","Toronto",N,N,"2",0,290,"Stubbins","","Peter","Animal Protection Party","Parti Protection Animaux",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 4","Toronto",N,N,"",1,367,"Byard","","Ivan","Communist","Communiste",N,N,2
35108,"Toronto Centre","Toronto-Centre"," 4","Toronto",N,N,"",1,367,"Chang","","Brian","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,82
35108,"Toronto Centre","Toronto-Centre"," 4","Toronto",N,N,"",1,367,"Ien","","Marci","Liberal","Libéral",Y,Y,82
35108,"Toronto Centre","Toronto-Centre"," 4","Toronto",N,N,"",1,367,"Jaffery","","Syed","People's Party - PPC","Parti populaire - PPC",N,N,3
35108,"Toronto Centre","Toronto-Centre"," 4","Toronto",N,N,"",1,367,"Lester","","Ryan","Conservative","Conservateur",N,N,21
35108,"Toronto Centre","Toronto-Centre"," 4","Toronto",N,N,"",1,367,"Paul","","Annamie","Green Party","Parti Vert",N,N,28
35108,"Toronto Centre","Toronto-Centre"," 4","Toronto",N,N,"",1,367,"Stubbins","","Peter","Animal Protection Party","Parti Protection Animaux",N,N,1
35108,"Toronto Centre","Toronto-Centre"," 5","Toronto",N,N,"",4,478,"Byard","","Ivan","Communist","Communiste",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 5","Toronto",N,N,"",4,478,"Chang","","Brian","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,38
35108,"Toronto Centre","Toronto-Centre"," 5","Toronto",N,N,"",4,478,"Ien","","Marci","Liberal","Libéral",Y,Y,73
35108,"Toronto Centre","Toronto-Centre"," 5","Toronto",N,N,"",4,478,"Jaffery","","Syed","People's Party - PPC","Parti populaire - PPC",N,N,4
