Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
13006,"Miramichi--Grand Lake","Miramichi--Grand Lake"," 1","Rivière-du-Portage",N,N,"",1,346,"Deitch","","Patty","Green Party","Parti Vert",N,N,7
13006,"Miramichi--Grand Lake","Miramichi--Grand Lake"," 1","Rivière-du-Portage",N,N,"",1,346,"Harris","","Lisa","Liberal","Libéral",N,N,104
13006,"Miramichi--Grand Lake","Miramichi--Grand Lake"," 1","Rivière-du-Portage",N,N,"",1,346,"Nowlan","","Ron","People's Party - PPC","Parti populaire - PPC",N,N,14
13006,"Miramichi--Grand Lake","Miramichi--Grand Lake"," 1","Rivière-du-Portage",N,N,"",1,346,"Potter","","Bruce","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,9
13006,"Miramichi--Grand Lake","Miramichi--Grand Lake"," 1","Rivière-du-Portage",N,N,"",1,346,"Stewart","","Jake","Conservative","Conservateur",N,Y,19
13006,"Miramichi--Grand Lake","Miramichi--Grand Lake"," 2","Pontgravé",N,N,"",2,311,"Deitch","","Patty","Green Party","Parti Vert",N,N,2
13006,"Miramichi--Grand Lake","Miramichi--Grand Lake"," 2","Pontgravé",N,N,"",2,311,"Harris","","Lisa","Liberal","Libéral",N,N,87
13006,"Miramichi--Grand Lake","Miramichi--Grand Lake"," 2","Pontgravé",N,N,"",2,311,"Nowlan","","Ron","People's Party - PPC","Parti populaire - PPC",N,N,7
13006,"Miramichi--Grand Lake","Miramichi--Grand Lake"," 2","Pontgravé",N,N,"",2,311,"Potter","","Bruce","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,10
13006,"Miramichi--Grand Lake","Miramichi--Grand Lake"," 2","Pontgravé",N,N,"",2,311,"Stewart","","Jake","Conservative","Conservateur",N,Y,29
13006,"Miramichi--Grand Lake","Miramichi--Grand Lake"," 3","Pontgravé",N,N,"",2,307,"Deitch","","Patty","Green Party","Parti Vert",N,N,11
13006,"Miramichi--Grand Lake","Miramichi--Grand Lake"," 3","Pontgravé",N,N,"",2,307,"Harris","","Lisa","Liberal","Libéral",N,N,106
13006,"Miramichi--Grand Lake","Miramichi--Grand Lake"," 3","Pontgravé",N,N,"",2,307,"Nowlan","","Ron","People's Party - PPC","Parti populaire - PPC",N,N,8
13006,"Miramichi--Grand Lake","Miramichi--Grand Lake"," 3","Pontgravé",N,N,"",2,307,"Potter","","Bruce","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,6
13006,"Miramichi--Grand Lake","Miramichi--Grand Lake"," 3","Pontgravé",N,N,"",2,307,"Stewart","","Jake","Conservative","Conservateur",N,Y,17
13006,"Miramichi--Grand Lake","Miramichi--Grand Lake"," 4","Brantville",N,N,"",4,280,"Deitch","","Patty","Green Party","Parti Vert",N,N,6
13006,"Miramichi--Grand Lake","Miramichi--Grand Lake"," 4","Brantville",N,N,"",4,280,"Harris","","Lisa","Liberal","Libéral",N,N,92
13006,"Miramichi--Grand Lake","Miramichi--Grand Lake"," 4","Brantville",N,N,"",4,280,"Nowlan","","Ron","People's Party - PPC","Parti populaire - PPC",N,N,5
13006,"Miramichi--Grand Lake","Miramichi--Grand Lake"," 4","Brantville",N,N,"",4,280,"Potter","","Bruce","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,9
13006,"Miramichi--Grand Lake","Miramichi--Grand Lake"," 4","Brantville",N,N,"",4,280,"Stewart","","Jake","Conservative","Conservateur",N,Y,5
13006,"Miramichi--Grand Lake","Miramichi--Grand Lake"," 5","Brantville",N,N,"",0,277,"Deitch","","Patty","Green Party","Parti Vert",N,N,3
13006,"Miramichi--Grand Lake","Miramichi--Grand Lake"," 5","Brantville",N,N,"",0,277,"Harris","","Lisa","Liberal","Libéral",N,N,108
13006,"Miramichi--Grand Lake","Miramichi--Grand Lake"," 5","Brantville",N,N,"",0,277,"Nowlan","","Ron","People's Party - PPC","Parti populaire - PPC",N,N,5
13006,"Miramichi--Grand Lake","Miramichi--Grand Lake"," 5","Brantville",N,N,"",0,277,"Potter","","Bruce","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,4
13006,"Miramichi--Grand Lake","Miramichi--Grand Lake"," 5","Brantville",N,N,"",0,277,"Stewart","","Jake","Conservative","Conservateur",N,Y,24
13006,"Miramichi--Grand Lake","Miramichi--Grand Lake"," 6","Brantville",N,N,"",1,358,"Deitch","","Patty","Green Party","Parti Vert",N,N,5
13006,"Miramichi--Grand Lake","Miramichi--Grand Lake"," 6","Brantville",N,N,"",1,358,"Harris","","Lisa","Liberal","Libéral",N,N,132
13006,"Miramichi--Grand Lake","Miramichi--Grand Lake"," 6","Brantville",N,N,"",1,358,"Nowlan","","Ron","People's Party - PPC","Parti populaire - PPC",N,N,7
13006,"Miramichi--Grand Lake","Miramichi--Grand Lake"," 6","Brantville",N,N,"",1,358,"Potter","","Bruce","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,10
13006,"Miramichi--Grand Lake","Miramichi--Grand Lake"," 6","Brantville",N,N,"",1,358,"Stewart","","Jake","Conservative","Conservateur",N,Y,14
13006,"Miramichi--Grand Lake","Miramichi--Grand Lake"," 7","Tabusintac 9",N,N,"",4,415,"Deitch","","Patty","Green Party","Parti Vert",N,N,6
13006,"Miramichi--Grand Lake","Miramichi--Grand Lake"," 7","Tabusintac 9",N,N,"",4,415,"Harris","","Lisa","Liberal","Libéral",N,N,76
13006,"Miramichi--Grand Lake","Miramichi--Grand Lake"," 7","Tabusintac 9",N,N,"",4,415,"Nowlan","","Ron","People's Party - PPC","Parti populaire - PPC",N,N,14
13006,"Miramichi--Grand Lake","Miramichi--Grand Lake"," 7","Tabusintac 9",N,N,"",4,415,"Potter","","Bruce","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,20
13006,"Miramichi--Grand Lake","Miramichi--Grand Lake"," 7","Tabusintac 9",N,N,"",4,415,"Stewart","","Jake","Conservative","Conservateur",N,Y,74
13006,"Miramichi--Grand Lake","Miramichi--Grand Lake"," 8","Covedell",N,N,"",3,421,"Deitch","","Patty","Green Party","Parti Vert",N,N,1
13006,"Miramichi--Grand Lake","Miramichi--Grand Lake"," 8","Covedell",N,N,"",3,421,"Harris","","Lisa","Liberal","Libéral",N,N,78
13006,"Miramichi--Grand Lake","Miramichi--Grand Lake"," 8","Covedell",N,N,"",3,421,"Nowlan","","Ron","People's Party - PPC","Parti populaire - PPC",N,N,14
13006,"Miramichi--Grand Lake","Miramichi--Grand Lake"," 8","Covedell",N,N,"",3,421,"Potter","","Bruce","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,10
