Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
10007,"St. John's South--Mount Pearl","St. John's-Sud--Mount Pearl"," 1","St. John's",N,N,"",1,443,"Critch","","Ray","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,62
10007,"St. John's South--Mount Pearl","St. John's-Sud--Mount Pearl"," 1","St. John's",N,N,"",1,443,"Hodder","","Steve","Conservative","Conservateur",N,N,19
10007,"St. John's South--Mount Pearl","St. John's-Sud--Mount Pearl"," 1","St. John's",N,N,"",1,443,"O'Regan","","Seamus","Liberal","Libéral",Y,Y,72
10007,"St. John's South--Mount Pearl","St. John's-Sud--Mount Pearl"," 1","St. John's",N,N,"",1,443,"Stewart","","Georgia Faith","People's Party - PPC","Parti populaire - PPC",N,N,5
10007,"St. John's South--Mount Pearl","St. John's-Sud--Mount Pearl"," 2","St. John's",N,N,"",0,255,"Critch","","Ray","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,30
10007,"St. John's South--Mount Pearl","St. John's-Sud--Mount Pearl"," 2","St. John's",N,N,"",0,255,"Hodder","","Steve","Conservative","Conservateur",N,N,8
10007,"St. John's South--Mount Pearl","St. John's-Sud--Mount Pearl"," 2","St. John's",N,N,"",0,255,"O'Regan","","Seamus","Liberal","Libéral",Y,Y,33
10007,"St. John's South--Mount Pearl","St. John's-Sud--Mount Pearl"," 2","St. John's",N,N,"",0,255,"Stewart","","Georgia Faith","People's Party - PPC","Parti populaire - PPC",N,N,1
10007,"St. John's South--Mount Pearl","St. John's-Sud--Mount Pearl"," 3","St. John's",N,N,"",2,285,"Critch","","Ray","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,41
10007,"St. John's South--Mount Pearl","St. John's-Sud--Mount Pearl"," 3","St. John's",N,N,"",2,285,"Hodder","","Steve","Conservative","Conservateur",N,N,9
10007,"St. John's South--Mount Pearl","St. John's-Sud--Mount Pearl"," 3","St. John's",N,N,"",2,285,"O'Regan","","Seamus","Liberal","Libéral",Y,Y,54
10007,"St. John's South--Mount Pearl","St. John's-Sud--Mount Pearl"," 3","St. John's",N,N,"",2,285,"Stewart","","Georgia Faith","People's Party - PPC","Parti populaire - PPC",N,N,4
10007,"St. John's South--Mount Pearl","St. John's-Sud--Mount Pearl"," 4","St. John's",N,N,"",0,328,"Critch","","Ray","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,56
10007,"St. John's South--Mount Pearl","St. John's-Sud--Mount Pearl"," 4","St. John's",N,N,"",0,328,"Hodder","","Steve","Conservative","Conservateur",N,N,3
10007,"St. John's South--Mount Pearl","St. John's-Sud--Mount Pearl"," 4","St. John's",N,N,"",0,328,"O'Regan","","Seamus","Liberal","Libéral",Y,Y,47
10007,"St. John's South--Mount Pearl","St. John's-Sud--Mount Pearl"," 4","St. John's",N,N,"",0,328,"Stewart","","Georgia Faith","People's Party - PPC","Parti populaire - PPC",N,N,4
10007,"St. John's South--Mount Pearl","St. John's-Sud--Mount Pearl"," 5","St. John's",N,N,"",1,335,"Critch","","Ray","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,56
10007,"St. John's South--Mount Pearl","St. John's-Sud--Mount Pearl"," 5","St. John's",N,N,"",1,335,"Hodder","","Steve","Conservative","Conservateur",N,N,11
10007,"St. John's South--Mount Pearl","St. John's-Sud--Mount Pearl"," 5","St. John's",N,N,"",1,335,"O'Regan","","Seamus","Liberal","Libéral",Y,Y,53
10007,"St. John's South--Mount Pearl","St. John's-Sud--Mount Pearl"," 5","St. John's",N,N,"",1,335,"Stewart","","Georgia Faith","People's Party - PPC","Parti populaire - PPC",N,N,2
10007,"St. John's South--Mount Pearl","St. John's-Sud--Mount Pearl"," 6","St. John's",N,N,"",0,416,"Critch","","Ray","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,73
10007,"St. John's South--Mount Pearl","St. John's-Sud--Mount Pearl"," 6","St. John's",N,N,"",0,416,"Hodder","","Steve","Conservative","Conservateur",N,N,12
10007,"St. John's South--Mount Pearl","St. John's-Sud--Mount Pearl"," 6","St. John's",N,N,"",0,416,"O'Regan","","Seamus","Liberal","Libéral",Y,Y,49
