Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
35060,"Mississauga--Erin Mills","Mississauga--Erin Mills"," 1","Mississauga",N,N,"",0,508,"Bayer","","Michael","People's Party - PPC","Parti populaire - PPC",N,N,4
35060,"Mississauga--Erin Mills","Mississauga--Erin Mills"," 1","Mississauga",N,N,"",0,508,"DeSilva","","Ewan","Green Party","Parti Vert",N,N,1
35060,"Mississauga--Erin Mills","Mississauga--Erin Mills"," 1","Mississauga",N,N,"",0,508,"Khalid","","Iqra","Liberal","Libéral",Y,Y,76
35060,"Mississauga--Erin Mills","Mississauga--Erin Mills"," 1","Mississauga",N,N,"",0,508,"Nguyen","","James","Conservative","Conservateur",N,N,78
35060,"Mississauga--Erin Mills","Mississauga--Erin Mills"," 1","Mississauga",N,N,"",0,508,"Usman","","Kaukab","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,25
35060,"Mississauga--Erin Mills","Mississauga--Erin Mills"," 2A","Mississauga",N,N,"",0,276,"Bayer","","Michael","People's Party - PPC","Parti populaire - PPC",N,N,5
35060,"Mississauga--Erin Mills","Mississauga--Erin Mills"," 2A","Mississauga",N,N,"",0,276,"DeSilva","","Ewan","Green Party","Parti Vert",N,N,5
35060,"Mississauga--Erin Mills","Mississauga--Erin Mills"," 2A","Mississauga",N,N,"",0,276,"Khalid","","Iqra","Liberal","Libéral",Y,Y,26
35060,"Mississauga--Erin Mills","Mississauga--Erin Mills"," 2A","Mississauga",N,N,"",0,276,"Nguyen","","James","Conservative","Conservateur",N,N,30
35060,"Mississauga--Erin Mills","Mississauga--Erin Mills"," 2A","Mississauga",N,N,"",0,276,"Usman","","Kaukab","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,12
