Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
48031,"St. Albert--Edmonton","St. Albert--Edmonton"," 1A","St. Albert",N,N,"",1,414,"Cecelia","","Brigitte","People's Party - PPC","Parti populaire - PPC",N,N,15
48031,"St. Albert--Edmonton","St. Albert--Edmonton"," 1A","St. Albert",N,N,"",1,414,"Cooper","","Michael","Conservative","Conservateur",Y,Y,65
48031,"St. Albert--Edmonton","St. Albert--Edmonton"," 1A","St. Albert",N,N,"",1,414,"Mpulubusi","","Kathleen","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,49
48031,"St. Albert--Edmonton","St. Albert--Edmonton"," 1A","St. Albert",N,N,"",1,414,"Springate","","Greg","Liberal","Libéral",N,N,20
48031,"St. Albert--Edmonton","St. Albert--Edmonton"," 1B","St. Albert",N,N,"",0,398,"Cecelia","","Brigitte","People's Party - PPC","Parti populaire - PPC",N,N,15
48031,"St. Albert--Edmonton","St. Albert--Edmonton"," 1B","St. Albert",N,N,"",0,398,"Cooper","","Michael","Conservative","Conservateur",Y,Y,72
48031,"St. Albert--Edmonton","St. Albert--Edmonton"," 1B","St. Albert",N,N,"",0,398,"Mpulubusi","","Kathleen","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,35
48031,"St. Albert--Edmonton","St. Albert--Edmonton"," 1B","St. Albert",N,N,"",0,398,"Springate","","Greg","Liberal","Libéral",N,N,18
48031,"St. Albert--Edmonton","St. Albert--Edmonton"," 2","St. Albert",N,N,"",1,603,"Cecelia","","Brigitte","People's Party - PPC","Parti populaire - PPC",N,N,28
48031,"St. Albert--Edmonton","St. Albert--Edmonton"," 2","St. Albert",N,N,"",1,603,"Cooper","","Michael","Conservative","Conservateur",Y,Y,159
48031,"St. Albert--Edmonton","St. Albert--Edmonton"," 2","St. Albert",N,N,"",1,603,"Mpulubusi","","Kathleen","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,111
48031,"St. Albert--Edmonton","St. Albert--Edmonton"," 2","St. Albert",N,N,"",1,603,"Springate","","Greg","Liberal","Libéral",N,N,57
48031,"St. Albert--Edmonton","St. Albert--Edmonton"," 3","St. Albert",N,N,"",1,336,"Cecelia","","Brigitte","People's Party - PPC","Parti populaire - PPC",N,N,12
48031,"St. Albert--Edmonton","St. Albert--Edmonton"," 3","St. Albert",N,N,"",1,336,"Cooper","","Michael","Conservative","Conservateur",Y,Y,97
48031,"St. Albert--Edmonton","St. Albert--Edmonton"," 3","St. Albert",N,N,"",1,336,"Mpulubusi","","Kathleen","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,34
