Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
48022,"Foothills","Foothills"," 1","Jumping Pound",N,N,"",0,201,"Barlow","","John","Conservative","Conservateur",Y,Y,57
48022,"Foothills","Foothills"," 1","Jumping Pound",N,N,"",0,201,"Hunter","","Daniel","People's Party - PPC","Parti populaire - PPC",N,N,5
48022,"Foothills","Foothills"," 1","Jumping Pound",N,N,"",0,201,"Rogers","","Brett","Green Party","Parti Vert",N,N,0
48022,"Foothills","Foothills"," 1","Jumping Pound",N,N,"",0,201,"Shimp","","Paula","Liberal","Libéral",N,N,3
48022,"Foothills","Foothills"," 1","Jumping Pound",N,N,"",0,201,"Traxel","","Michelle","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,6
48022,"Foothills","Foothills"," 1","Jumping Pound",N,N,"",0,201,"Wylie","","Josh","Maverick Party","Maverick Party",N,N,3
48022,"Foothills","Foothills"," 2","Rocky View County",N,N,"",0,318,"Barlow","","John","Conservative","Conservateur",Y,Y,73
48022,"Foothills","Foothills"," 2","Rocky View County",N,N,"",0,318,"Hunter","","Daniel","People's Party - PPC","Parti populaire - PPC",N,N,7
48022,"Foothills","Foothills"," 2","Rocky View County",N,N,"",0,318,"Rogers","","Brett","Green Party","Parti Vert",N,N,3
48022,"Foothills","Foothills"," 2","Rocky View County",N,N,"",0,318,"Shimp","","Paula","Liberal","Libéral",N,N,8
48022,"Foothills","Foothills"," 2","Rocky View County",N,N,"",0,318,"Traxel","","Michelle","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,16
48022,"Foothills","Foothills"," 2","Rocky View County",N,N,"",0,318,"Wylie","","Josh","Maverick Party","Maverick Party",N,N,9
48022,"Foothills","Foothills"," 3","Rocky View County",N,N,"",0,349,"Barlow","","John","Conservative","Conservateur",Y,Y,82
48022,"Foothills","Foothills"," 3","Rocky View County",N,N,"",0,349,"Hunter","","Daniel","People's Party - PPC","Parti populaire - PPC",N,N,7
48022,"Foothills","Foothills"," 3","Rocky View County",N,N,"",0,349,"Rogers","","Brett","Green Party","Parti Vert",N,N,2
48022,"Foothills","Foothills"," 3","Rocky View County",N,N,"",0,349,"Shimp","","Paula","Liberal","Libéral",N,N,16
48022,"Foothills","Foothills"," 3","Rocky View County",N,N,"",0,349,"Traxel","","Michelle","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,16
48022,"Foothills","Foothills"," 3","Rocky View County",N,N,"",0,349,"Wylie","","Josh","Maverick Party","Maverick Party",N,N,3
48022,"Foothills","Foothills"," 4","Rocky View County",N,N,"",0,360,"Barlow","","John","Conservative","Conservateur",Y,Y,88
48022,"Foothills","Foothills"," 4","Rocky View County",N,N,"",0,360,"Hunter","","Daniel","People's Party - PPC","Parti populaire - PPC",N,N,11
48022,"Foothills","Foothills"," 4","Rocky View County",N,N,"",0,360,"Rogers","","Brett","Green Party","Parti Vert",N,N,2
48022,"Foothills","Foothills"," 4","Rocky View County",N,N,"",0,360,"Shimp","","Paula","Liberal","Libéral",N,N,15
48022,"Foothills","Foothills"," 4","Rocky View County",N,N,"",0,360,"Traxel","","Michelle","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,13
48022,"Foothills","Foothills"," 4","Rocky View County",N,N,"",0,360,"Wylie","","Josh","Maverick Party","Maverick Party",N,N,5
48022,"Foothills","Foothills"," 5","Rocky View County",N,N,"",0,354,"Barlow","","John","Conservative","Conservateur",Y,Y,74
48022,"Foothills","Foothills"," 5","Rocky View County",N,N,"",0,354,"Hunter","","Daniel","People's Party - PPC","Parti populaire - PPC",N,N,1
48022,"Foothills","Foothills"," 5","Rocky View County",N,N,"",0,354,"Rogers","","Brett","Green Party","Parti Vert",N,N,1
48022,"Foothills","Foothills"," 5","Rocky View County",N,N,"",0,354,"Shimp","","Paula","Liberal","Libéral",N,N,3
48022,"Foothills","Foothills"," 5","Rocky View County",N,N,"",0,354,"Traxel","","Michelle","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,13
48022,"Foothills","Foothills"," 5","Rocky View County",N,N,"",0,354,"Wylie","","Josh","Maverick Party","Maverick Party",N,N,0
48022,"Foothills","Foothills"," 6","Rocky View County",N,N,"",0,401,"Barlow","","John","Conservative","Conservateur",Y,Y,91
48022,"Foothills","Foothills"," 6","Rocky View County",N,N,"",0,401,"Hunter","","Daniel","People's Party - PPC","Parti populaire - PPC",N,N,13
48022,"Foothills","Foothills"," 6","Rocky View County",N,N,"",0,401,"Rogers","","Brett","Green Party","Parti Vert",N,N,4
48022,"Foothills","Foothills"," 6","Rocky View County",N,N,"",0,401,"Shimp","","Paula","Liberal","Libéral",N,N,8
48022,"Foothills","Foothills"," 6","Rocky View County",N,N,"",0,401,"Traxel","","Michelle","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,9
48022,"Foothills","Foothills"," 6","Rocky View County",N,N,"",0,401,"Wylie","","Josh","Maverick Party","Maverick Party",N,N,4
48022,"Foothills","Foothills"," 7","Rocky View County",N,N,"",0,327,"Barlow","","John","Conservative","Conservateur",Y,Y,71
