Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
48010,"Calgary Rocky Ridge","Calgary Rocky Ridge"," 1","Calgary",N,N,"",0,852,"Kelly","","Pat","Conservative","Conservateur",Y,Y,111
48010,"Calgary Rocky Ridge","Calgary Rocky Ridge"," 1","Calgary",N,N,"",0,852,"Kieren","","Jena Dianne","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,45
48010,"Calgary Rocky Ridge","Calgary Rocky Ridge"," 1","Calgary",N,N,"",0,852,"MacLeod","","Rory","People's Party - PPC","Parti populaire - PPC",N,N,10
48010,"Calgary Rocky Ridge","Calgary Rocky Ridge"," 1","Calgary",N,N,"",0,852,"Munir","","Shahnaz","Liberal","Libéral",N,N,53
48010,"Calgary Rocky Ridge","Calgary Rocky Ridge"," 1","Calgary",N,N,"",0,852,"Robinson","","David","Maverick Party","Maverick Party",N,N,0
48010,"Calgary Rocky Ridge","Calgary Rocky Ridge"," 1","Calgary",N,N,"",0,852,"Wright","","Catriona","Green Party","Parti Vert",N,N,6
48010,"Calgary Rocky Ridge","Calgary Rocky Ridge"," 2","Calgary",N,N,"",1,1018,"Kelly","","Pat","Conservative","Conservateur",Y,Y,150
48010,"Calgary Rocky Ridge","Calgary Rocky Ridge"," 2","Calgary",N,N,"",1,1018,"Kieren","","Jena Dianne","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,41
48010,"Calgary Rocky Ridge","Calgary Rocky Ridge"," 2","Calgary",N,N,"",1,1018,"MacLeod","","Rory","People's Party - PPC","Parti populaire - PPC",N,N,8
48010,"Calgary Rocky Ridge","Calgary Rocky Ridge"," 2","Calgary",N,N,"",1,1018,"Munir","","Shahnaz","Liberal","Libéral",N,N,118
48010,"Calgary Rocky Ridge","Calgary Rocky Ridge"," 2","Calgary",N,N,"",1,1018,"Robinson","","David","Maverick Party","Maverick Party",N,N,2
48010,"Calgary Rocky Ridge","Calgary Rocky Ridge"," 2","Calgary",N,N,"",1,1018,"Wright","","Catriona","Green Party","Parti Vert",N,N,1
