Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
48024,"Grande Prairie--Mackenzie","Grande Prairie--Mackenzie"," 1","Bistcho Lake 213",N,N,"",0,46,"Campbell","","Dan","Liberal","Libéral",N,N,3
48024,"Grande Prairie--Mackenzie","Grande Prairie--Mackenzie"," 1","Bistcho Lake 213",N,N,"",0,46,"Eckstrom","","Donovan","Parti Rhinocéros Party","Parti Rhinocéros Party",N,N,0
48024,"Grande Prairie--Mackenzie","Grande Prairie--Mackenzie"," 1","Bistcho Lake 213",N,N,"",0,46,"McLean","","Shawn","People's Party - PPC","Parti populaire - PPC",N,N,0
48024,"Grande Prairie--Mackenzie","Grande Prairie--Mackenzie"," 1","Bistcho Lake 213",N,N,"",0,46,"Ralph","","Ambrose","Maverick Party","Maverick Party",N,N,9
48024,"Grande Prairie--Mackenzie","Grande Prairie--Mackenzie"," 1","Bistcho Lake 213",N,N,"",0,46,"Villebrun","","Jennifer","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,4
48024,"Grande Prairie--Mackenzie","Grande Prairie--Mackenzie"," 1","Bistcho Lake 213",N,N,"",0,46,"Warkentin","","Chris","Conservative","Conservateur",Y,Y,18
48024,"Grande Prairie--Mackenzie","Grande Prairie--Mackenzie"," 2","Habay",N,N,"",1,595,"Campbell","","Dan","Liberal","Libéral",N,N,63
48024,"Grande Prairie--Mackenzie","Grande Prairie--Mackenzie"," 2","Habay",N,N,"",1,595,"Eckstrom","","Donovan","Parti Rhinocéros Party","Parti Rhinocéros Party",N,N,0
48024,"Grande Prairie--Mackenzie","Grande Prairie--Mackenzie"," 2","Habay",N,N,"",1,595,"McLean","","Shawn","People's Party - PPC","Parti populaire - PPC",N,N,1
48024,"Grande Prairie--Mackenzie","Grande Prairie--Mackenzie"," 2","Habay",N,N,"",1,595,"Ralph","","Ambrose","Maverick Party","Maverick Party",N,N,0
48024,"Grande Prairie--Mackenzie","Grande Prairie--Mackenzie"," 2","Habay",N,N,"",1,595,"Villebrun","","Jennifer","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,23
48024,"Grande Prairie--Mackenzie","Grande Prairie--Mackenzie"," 2","Habay",N,N,"",1,595,"Warkentin","","Chris","Conservative","Conservateur",Y,Y,12
48024,"Grande Prairie--Mackenzie","Grande Prairie--Mackenzie"," 3","Meander River",N,N,"",2,145,"Campbell","","Dan","Liberal","Libéral",N,N,14
48024,"Grande Prairie--Mackenzie","Grande Prairie--Mackenzie"," 3","Meander River",N,N,"",2,145,"Eckstrom","","Donovan","Parti Rhinocéros Party","Parti Rhinocéros Party",N,N,0
48024,"Grande Prairie--Mackenzie","Grande Prairie--Mackenzie"," 3","Meander River",N,N,"",2,145,"McLean","","Shawn","People's Party - PPC","Parti populaire - PPC",N,N,1
48024,"Grande Prairie--Mackenzie","Grande Prairie--Mackenzie"," 3","Meander River",N,N,"",2,145,"Ralph","","Ambrose","Maverick Party","Maverick Party",N,N,0
48024,"Grande Prairie--Mackenzie","Grande Prairie--Mackenzie"," 3","Meander River",N,N,"",2,145,"Villebrun","","Jennifer","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,9
48024,"Grande Prairie--Mackenzie","Grande Prairie--Mackenzie"," 3","Meander River",N,N,"",2,145,"Warkentin","","Chris","Conservative","Conservateur",Y,Y,3
48024,"Grande Prairie--Mackenzie","Grande Prairie--Mackenzie"," 4","Rainbow Lake",N,N,"",0,168,"Campbell","","Dan","Liberal","Libéral",N,N,1
48024,"Grande Prairie--Mackenzie","Grande Prairie--Mackenzie"," 4","Rainbow Lake",N,N,"",0,168,"Eckstrom","","Donovan","Parti Rhinocéros Party","Parti Rhinocéros Party",N,N,1
48024,"Grande Prairie--Mackenzie","Grande Prairie--Mackenzie"," 4","Rainbow Lake",N,N,"",0,168,"McLean","","Shawn","People's Party - PPC","Parti populaire - PPC",N,N,5
48024,"Grande Prairie--Mackenzie","Grande Prairie--Mackenzie"," 4","Rainbow Lake",N,N,"",0,168,"Ralph","","Ambrose","Maverick Party","Maverick Party",N,N,0
48024,"Grande Prairie--Mackenzie","Grande Prairie--Mackenzie"," 4","Rainbow Lake",N,N,"",0,168,"Villebrun","","Jennifer","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,9
48024,"Grande Prairie--Mackenzie","Grande Prairie--Mackenzie"," 4","Rainbow Lake",N,N,"",0,168,"Warkentin","","Chris","Conservative","Conservateur",Y,Y,43
48024,"Grande Prairie--Mackenzie","Grande Prairie--Mackenzie"," 5","Rainbow Lake",N,N,"",0,168,"Campbell","","Dan","Liberal","Libéral",N,N,2
48024,"Grande Prairie--Mackenzie","Grande Prairie--Mackenzie"," 5","Rainbow Lake",N,N,"",0,168,"Eckstrom","","Donovan","Parti Rhinocéros Party","Parti Rhinocéros Party",N,N,0
48024,"Grande Prairie--Mackenzie","Grande Prairie--Mackenzie"," 5","Rainbow Lake",N,N,"",0,168,"McLean","","Shawn","People's Party - PPC","Parti populaire - PPC",N,N,2
48024,"Grande Prairie--Mackenzie","Grande Prairie--Mackenzie"," 5","Rainbow Lake",N,N,"",0,168,"Ralph","","Ambrose","Maverick Party","Maverick Party",N,N,0
48024,"Grande Prairie--Mackenzie","Grande Prairie--Mackenzie"," 5","Rainbow Lake",N,N,"",0,168,"Villebrun","","Jennifer","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,2
48024,"Grande Prairie--Mackenzie","Grande Prairie--Mackenzie"," 5","Rainbow Lake",N,N,"",0,168,"Warkentin","","Chris","Conservative","Conservateur",Y,Y,55
48024,"Grande Prairie--Mackenzie","Grande Prairie--Mackenzie"," 6","High Level",N,N,"",0,492,"Campbell","","Dan","Liberal","Libéral",N,N,15
48024,"Grande Prairie--Mackenzie","Grande Prairie--Mackenzie"," 6","High Level",N,N,"",0,492,"Eckstrom","","Donovan","Parti Rhinocéros Party","Parti Rhinocéros Party",N,N,0
48024,"Grande Prairie--Mackenzie","Grande Prairie--Mackenzie"," 6","High Level",N,N,"",0,492,"McLean","","Shawn","People's Party - PPC","Parti populaire - PPC",N,N,18
48024,"Grande Prairie--Mackenzie","Grande Prairie--Mackenzie"," 6","High Level",N,N,"",0,492,"Ralph","","Ambrose","Maverick Party","Maverick Party",N,N,1
48024,"Grande Prairie--Mackenzie","Grande Prairie--Mackenzie"," 6","High Level",N,N,"",0,492,"Villebrun","","Jennifer","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,34
48024,"Grande Prairie--Mackenzie","Grande Prairie--Mackenzie"," 6","High Level",N,N,"",0,492,"Warkentin","","Chris","Conservative","Conservateur",Y,Y,72
48024,"Grande Prairie--Mackenzie","Grande Prairie--Mackenzie"," 7","High Level",N,N,"",0,362,"Campbell","","Dan","Liberal","Libéral",N,N,11
48024,"Grande Prairie--Mackenzie","Grande Prairie--Mackenzie"," 7","High Level",N,N,"",0,362,"Eckstrom","","Donovan","Parti Rhinocéros Party","Parti Rhinocéros Party",N,N,0
48024,"Grande Prairie--Mackenzie","Grande Prairie--Mackenzie"," 7","High Level",N,N,"",0,362,"McLean","","Shawn","People's Party - PPC","Parti populaire - PPC",N,N,14
48024,"Grande Prairie--Mackenzie","Grande Prairie--Mackenzie"," 7","High Level",N,N,"",0,362,"Ralph","","Ambrose","Maverick Party","Maverick Party",N,N,2
48024,"Grande Prairie--Mackenzie","Grande Prairie--Mackenzie"," 7","High Level",N,N,"",0,362,"Villebrun","","Jennifer","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,19
48024,"Grande Prairie--Mackenzie","Grande Prairie--Mackenzie"," 7","High Level",N,N,"",0,362,"Warkentin","","Chris","Conservative","Conservateur",Y,Y,51
