Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
24025,"Drummond","Drummond"," 1","Sainte-Brigitte-des-Saults",N,N,"2",0,262,"Berri","","Mustapha","Liberal","Libéral",N,N,0
24025,"Drummond","Drummond"," 1","Sainte-Brigitte-des-Saults",N,N,"2",0,262,"Champoux","","Martin","Bloc Québécois","Bloc Québécois",Y,Y,0
24025,"Drummond","Drummond"," 1","Sainte-Brigitte-des-Saults",N,N,"2",0,262,"Choquette","","François","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,0
24025,"Drummond","Drummond"," 1","Sainte-Brigitte-des-Saults",N,N,"2",0,262,"Clermont","","Nathalie","Conservative","Conservateur",N,N,0
24025,"Drummond","Drummond"," 1","Sainte-Brigitte-des-Saults",N,N,"2",0,262,"Joyal","","Josée","Free Party Canada","Parti Libre Canada",N,N,0
24025,"Drummond","Drummond"," 1","Sainte-Brigitte-des-Saults",N,N,"2",0,262,"Marcoux","","Sylvain","No Affiliation","Aucune appartenance",N,N,0
24025,"Drummond","Drummond"," 1","Sainte-Brigitte-des-Saults",N,N,"2",0,262,"Munger","","Lucas","Animal Protection Party","Parti Protection Animaux",N,N,0
24025,"Drummond","Drummond"," 2","Sainte-Brigitte-des-Saults",N,N,"",5,328,"Berri","","Mustapha","Liberal","Libéral",N,N,58
24025,"Drummond","Drummond"," 2","Sainte-Brigitte-des-Saults",N,N,"",5,328,"Champoux","","Martin","Bloc Québécois","Bloc Québécois",Y,Y,161
24025,"Drummond","Drummond"," 2","Sainte-Brigitte-des-Saults",N,N,"",5,328,"Choquette","","François","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,31
24025,"Drummond","Drummond"," 2","Sainte-Brigitte-des-Saults",N,N,"",5,328,"Clermont","","Nathalie","Conservative","Conservateur",N,N,53
24025,"Drummond","Drummond"," 2","Sainte-Brigitte-des-Saults",N,N,"",5,328,"Joyal","","Josée","Free Party Canada","Parti Libre Canada",N,N,13
24025,"Drummond","Drummond"," 2","Sainte-Brigitte-des-Saults",N,N,"",5,328,"Marcoux","","Sylvain","No Affiliation","Aucune appartenance",N,N,8
24025,"Drummond","Drummond"," 2","Sainte-Brigitte-des-Saults",N,N,"",5,328,"Munger","","Lucas","Animal Protection Party","Parti Protection Animaux",N,N,3
24025,"Drummond","Drummond"," 3","Notre-Dame-du-Bon-Conseil",N,N,"",14,460,"Berri","","Mustapha","Liberal","Libéral",N,N,60
24025,"Drummond","Drummond"," 3","Notre-Dame-du-Bon-Conseil",N,N,"",14,460,"Champoux","","Martin","Bloc Québécois","Bloc Québécois",Y,Y,116
24025,"Drummond","Drummond"," 3","Notre-Dame-du-Bon-Conseil",N,N,"",14,460,"Choquette","","François","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,27
24025,"Drummond","Drummond"," 3","Notre-Dame-du-Bon-Conseil",N,N,"",14,460,"Clermont","","Nathalie","Conservative","Conservateur",N,N,98
24025,"Drummond","Drummond"," 3","Notre-Dame-du-Bon-Conseil",N,N,"",14,460,"Joyal","","Josée","Free Party Canada","Parti Libre Canada",N,N,8
24025,"Drummond","Drummond"," 3","Notre-Dame-du-Bon-Conseil",N,N,"",14,460,"Marcoux","","Sylvain","No Affiliation","Aucune appartenance",N,N,3
24025,"Drummond","Drummond"," 3","Notre-Dame-du-Bon-Conseil",N,N,"",14,460,"Munger","","Lucas","Animal Protection Party","Parti Protection Animaux",N,N,2
24025,"Drummond","Drummond"," 4","Notre-Dame-du-Bon-Conseil",N,N,"3",0,272,"Berri","","Mustapha","Liberal","Libéral",N,N,0
