Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
24041,"Longueuil--Charles-LeMoyne","Longueuil--Charles-LeMoyne"," 1","Longueuil",N,N,"",9,412,"Boisclair","","Nathalie","Bloc Québécois","Bloc Québécois",N,N,68
24041,"Longueuil--Charles-LeMoyne","Longueuil--Charles-LeMoyne"," 1","Longueuil",N,N,"",9,412,"Cardin","","Nancy","Green Party","Parti Vert",N,N,5
24041,"Longueuil--Charles-LeMoyne","Longueuil--Charles-LeMoyne"," 1","Longueuil",N,N,"",9,412,"Chénier","","Pierre","Marxist-Leninist","Marxiste-Léniniste",N,N,0
24041,"Longueuil--Charles-LeMoyne","Longueuil--Charles-LeMoyne"," 1","Longueuil",N,N,"",9,412,"Dhatsenpa","","Kalden","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,16
24041,"Longueuil--Charles-LeMoyne","Longueuil--Charles-LeMoyne"," 1","Longueuil",N,N,"",9,412,"Lalonde","","Isabelle","Conservative","Conservateur",N,N,15
24041,"Longueuil--Charles-LeMoyne","Longueuil--Charles-LeMoyne"," 1","Longueuil",N,N,"",9,412,"Olinga","","Tiny","People's Party - PPC","Parti populaire - PPC",N,N,2
24041,"Longueuil--Charles-LeMoyne","Longueuil--Charles-LeMoyne"," 1","Longueuil",N,N,"",9,412,"Romanado","","Sherry","Liberal","Libéral",Y,Y,34
24041,"Longueuil--Charles-LeMoyne","Longueuil--Charles-LeMoyne"," 2","Longueuil",N,N,"",4,423,"Boisclair","","Nathalie","Bloc Québécois","Bloc Québécois",N,N,47
24041,"Longueuil--Charles-LeMoyne","Longueuil--Charles-LeMoyne"," 2","Longueuil",N,N,"",4,423,"Cardin","","Nancy","Green Party","Parti Vert",N,N,8
24041,"Longueuil--Charles-LeMoyne","Longueuil--Charles-LeMoyne"," 2","Longueuil",N,N,"",4,423,"Chénier","","Pierre","Marxist-Leninist","Marxiste-Léniniste",N,N,1
24041,"Longueuil--Charles-LeMoyne","Longueuil--Charles-LeMoyne"," 2","Longueuil",N,N,"",4,423,"Dhatsenpa","","Kalden","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,13
24041,"Longueuil--Charles-LeMoyne","Longueuil--Charles-LeMoyne"," 2","Longueuil",N,N,"",4,423,"Lalonde","","Isabelle","Conservative","Conservateur",N,N,7
24041,"Longueuil--Charles-LeMoyne","Longueuil--Charles-LeMoyne"," 2","Longueuil",N,N,"",4,423,"Olinga","","Tiny","People's Party - PPC","Parti populaire - PPC",N,N,3
24041,"Longueuil--Charles-LeMoyne","Longueuil--Charles-LeMoyne"," 2","Longueuil",N,N,"",4,423,"Romanado","","Sherry","Liberal","Libéral",Y,Y,30
