Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
59025,"Richmond Centre","Richmond-Centre"," 1","Richmond",N,N,"",0,287,"Gillanders","","Laura","Green Party","Parti Vert",N,N,7
59025,"Richmond Centre","Richmond-Centre"," 1","Richmond",N,N,"",0,287,"Hinton","","James","People's Party - PPC","Parti populaire - PPC",N,N,7
59025,"Richmond Centre","Richmond-Centre"," 1","Richmond",N,N,"",0,287,"Miao","","Wilson","Liberal","Libéral",N,Y,27
59025,"Richmond Centre","Richmond-Centre"," 1","Richmond",N,N,"",0,287,"Nixon","","Sandra","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,23
59025,"Richmond Centre","Richmond-Centre"," 1","Richmond",N,N,"",0,287,"Wong","","Alice","Conservative","Conservateur",Y,N,29
59025,"Richmond Centre","Richmond-Centre"," 2","Richmond",N,N,"",0,298,"Gillanders","","Laura","Green Party","Parti Vert",N,N,9
59025,"Richmond Centre","Richmond-Centre"," 2","Richmond",N,N,"",0,298,"Hinton","","James","People's Party - PPC","Parti populaire - PPC",N,N,3
59025,"Richmond Centre","Richmond-Centre"," 2","Richmond",N,N,"",0,298,"Miao","","Wilson","Liberal","Libéral",N,Y,41
59025,"Richmond Centre","Richmond-Centre"," 2","Richmond",N,N,"",0,298,"Nixon","","Sandra","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,34
59025,"Richmond Centre","Richmond-Centre"," 2","Richmond",N,N,"",0,298,"Wong","","Alice","Conservative","Conservateur",Y,N,21
59025,"Richmond Centre","Richmond-Centre"," 3","Richmond",N,N,"",1,405,"Gillanders","","Laura","Green Party","Parti Vert",N,N,2
59025,"Richmond Centre","Richmond-Centre"," 3","Richmond",N,N,"",1,405,"Hinton","","James","People's Party - PPC","Parti populaire - PPC",N,N,4
59025,"Richmond Centre","Richmond-Centre"," 3","Richmond",N,N,"",1,405,"Miao","","Wilson","Liberal","Libéral",N,Y,34
59025,"Richmond Centre","Richmond-Centre"," 3","Richmond",N,N,"",1,405,"Nixon","","Sandra","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,26
