Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
24071,"Salaberry--Suroît","Salaberry--Suroît"," 1","Très-Saint-Rédempteur",N,N,"",0,348,"Bertrand","","Luc","Pour l'Indépendance du Québec","Pour l'Indépendance du Québec",N,N,2
24071,"Salaberry--Suroît","Salaberry--Suroît"," 1","Très-Saint-Rédempteur",N,N,"",0,348,"Collette","","Jean","Conservative","Conservateur",N,N,10
24071,"Salaberry--Suroît","Salaberry--Suroît"," 1","Très-Saint-Rédempteur",N,N,"",0,348,"Debellefeuille","","Claude","Bloc Québécois","Bloc Québécois",Y,Y,55
24071,"Salaberry--Suroît","Salaberry--Suroît"," 1","Très-Saint-Rédempteur",N,N,"",0,348,"Gallant","","Linda","Liberal","Libéral",N,N,38
24071,"Salaberry--Suroît","Salaberry--Suroît"," 1","Très-Saint-Rédempteur",N,N,"",0,348,"Gottman","","Joan","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,18
24071,"Salaberry--Suroît","Salaberry--Suroît"," 1","Très-Saint-Rédempteur",N,N,"",0,348,"Goyette","","Marcel","Free Party Canada","Parti Libre Canada",N,N,0
24071,"Salaberry--Suroît","Salaberry--Suroît"," 1","Très-Saint-Rédempteur",N,N,"",0,348,"Thivierge","","Nicolas","People's Party - PPC","Parti populaire - PPC",N,N,7
24071,"Salaberry--Suroît","Salaberry--Suroît"," 2","Très-Saint-Rédempteur",N,N,"",1,425,"Bertrand","","Luc","Pour l'Indépendance du Québec","Pour l'Indépendance du Québec",N,N,1
24071,"Salaberry--Suroît","Salaberry--Suroît"," 2","Très-Saint-Rédempteur",N,N,"",1,425,"Collette","","Jean","Conservative","Conservateur",N,N,23
24071,"Salaberry--Suroît","Salaberry--Suroît"," 2","Très-Saint-Rédempteur",N,N,"",1,425,"Debellefeuille","","Claude","Bloc Québécois","Bloc Québécois",Y,Y,64
24071,"Salaberry--Suroît","Salaberry--Suroît"," 2","Très-Saint-Rédempteur",N,N,"",1,425,"Gallant","","Linda","Liberal","Libéral",N,N,49
24071,"Salaberry--Suroît","Salaberry--Suroît"," 2","Très-Saint-Rédempteur",N,N,"",1,425,"Gottman","","Joan","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,18
24071,"Salaberry--Suroît","Salaberry--Suroît"," 2","Très-Saint-Rédempteur",N,N,"",1,425,"Goyette","","Marcel","Free Party Canada","Parti Libre Canada",N,N,2
24071,"Salaberry--Suroît","Salaberry--Suroît"," 2","Très-Saint-Rédempteur",N,N,"",1,425,"Thivierge","","Nicolas","People's Party - PPC","Parti populaire - PPC",N,N,14
24071,"Salaberry--Suroît","Salaberry--Suroît"," 3","Beauharnois",N,N,"",1,379,"Bertrand","","Luc","Pour l'Indépendance du Québec","Pour l'Indépendance du Québec",N,N,5
24071,"Salaberry--Suroît","Salaberry--Suroît"," 3","Beauharnois",N,N,"",1,379,"Collette","","Jean","Conservative","Conservateur",N,N,10
